Anime,Recommendation,Reasoning,Recommendation Power
Medarot Damashii,"['Monster Farm: Legend e no Michi', 'Kodai Ouja Kyouryuu King: Yokuryuu Densetsu']","['Both kids monster battling anime from a similar era.\r\nBoth second seasons of more niche shows that tried to ride the tailwinds of the breakout successes of Pokemon, Yugioh & Digimon.', ""Both second seasons of classic monster battling kids anime.\r\nBoth have intelligent monster companions who communicate with each series' human child counterparts.\r\nBoth have similar style humour.""]","[1, 1]"
Rurouni Kenshin: Meiji Kenkaku Romantan,"['Yuu☆Yuu☆Hakusho', 'Noragami', 'Dragon Ball Z', 'Dororo', 'Gintama']","['Both have good fight scenes and a lovely group with badass protagonist', 'Both protagonists were once a prodigy in the art of killing but now both have swore to not take another life and now live life protecting others', 'Badass classic anime with Badass and strong af protagonists', 'Samurai based anime with good animation', 'Gintama basically feels like a parody of Rurouni Kenshin, besides both are great series with epic animation and badass osts with top notch voice acting']","[1, 2, 1, 1, 1]"
One Punch Man,"['Sakamoto Desu ga?', 'Shinchou Yuusha: Kono Yuusha ga Ore Tsueee Kuse ni Shinchou Sugiru', 'Mob Psycho 100', 'Boku no Hero Academia', 'Cike Wu Liuqi', 'Saiki Kusuo no Ψ-nan']","['Both protagonists are best at what they do and both series are very funny', ""Both protagonists are super powerful, but there's a key difference and that is, Saitama knows he will one and Seiya even though knowing that he'll win prepares for 10 moves ahead"", 'They both have the same creator, ONE, and each has overpowered main characters and humorous side characters.', 'Heros and Hero associations and ranked heros. Comedy. Villains. A lot of fights. Both have an ensemble of characters. One character seeks to be the best and one is bored with being the best. One Punch Man has more comedy. My Hero has more depth of character.', 'One Punch Man and Cike Wu Liuqi Both Have\r\n\r\n-eccentric comedy\r\n-nicely animated action scenes\r\n-protagonists with jobs related to fighting\r\n-quirky character design\r\n-protagonists with relaxed personalities', 'Very similar humour type. The main characters both are ridiculously over powered, and both have similar personalities.']","[1, 2, 4, 1, 1, 1]"
Maria-sama ga Miteru,"['Aria the Animation', 'Yagate Kimi ni Naru']","['-There are sempai-kouhai relationships between 3 girl groups.\r\n-They are beautiful slice of life that take you into their world and do not let you go.\r\n-Both protagonists are ""angels without wings"".', 'Same kind of premises, relationship between a senior with their junior with a specific reasons that tied them together. Light hearted, and if you like one, probably you will also like the other']","[1, 1]"
Dragon Ball Z,['Hunter x Hunter (2011)'],['Great anime with badass fight scenes'],[1]
Great Teacher Onizuka,"['Golden Boy', 'Gintama']","['Both protagonists are always up for a challenge and make learning and living fun for others', ""Onizuka and Gintoki are both the lowest person from Status quo's view but as a humans they are the best, they understand others' feelings and help them realize it. both are very very funny but when the time comes they become more serious then anyone else. In the end they both teaches us to leave according to our own will""]","[3, 2]"
Lodoss-tou Senki,['Slayers'],"['Both are classic fantasy anime that are inspired more by tabletop RPGs than JRPGs. The main difference is the tone. Slayers is a silly show that can occasionally be serious when it wants to, while Lodoss is a serious show that can occasionally be silly (though nowhere near as silly as Slayers) when it wants to.\r\n\r\nA common joke is  that Record of Lodoss War is the D&D campaign a DM wants to run, while Slayers is what most D&D campaigns actually end up being.']",[1]
Gintama,"['One Punch Man', 'Noragami', 'Kono Subarashii Sekai ni Shukufuku wo!', 'Detroit Metal City', 'Asobi Asobase', 'Shinchou Yuusha: Kono Yuusha ga Ore Tsueee Kuse ni Shinchou Sugiru', 'Space☆Dandy', 'Danshi Koukousei no Nichijou', 'Eizouken ni wa Te wo Dasu na!', 'Saiki Kusuo no Ψ-nan 2', 'Saiki Kusuo no Ψ-nan']","['Both protagonists are always up to make money, and they both teach you why defending others is a responsibility for the powerful', 'Both protagonists are now broken as fu*k and once they both fought in wars and now they abandoned the path of war and lead a fine life with their loved ones', 'Both anime have a group of friends who love and fight each other like familiy', 'Both have Non veg and vulgar comedic approach', 'Both have a similar comedic approach and people portrayal', 'Both are like a parody to their following genre, cautious hero parodies typical isekai anime and gintama parodies typical shonen anime, and both protagonist even though now powerful were once defeated and lost it all', ""The humor and randomness of these two series are so similar. Space Dandy is honestly just like an extra 12 episodes of Gintama with a different cast of characters. It's not just the comedy that's similar either, both series really deliver when it comes to the serious elements. If you're into all the comedy of Gintama you'll love Space Dandy and vice versa!"", 'This show is a must watch if you have seen enough anime and read enough manga. Its humour is similar to highschool boys.', 'Both Save World And Funny Three MC And Parody Gintama and Eizouken\r\nEizouken Story for school club\r\nGintama Story For Save World', ""More so than the first season, the second season of Saiki Kusuo includes short arcs in its storytelling that closely parallel that of the whole Gintama series. In general, both Season 2 of SK and Gintama feature similar storytelling, similar humor, and similar strengths in characters - particularly in each character's eccentricity, especially the main characters themselves. After all, both MCs basically have a show named after them :)"", 'It has the same type of stupid humor. Both have nice feels, but I definitely feel Gintama was way better than Saiki though.']","[1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1]"
Detroit Metal City,"['Sakamoto Desu ga?', 'Overlord']","['Both protagonists always win and in a cool way from continues attacks from their various haters and enemies', 'Both protagonists are treated like god from their followers but from inside they are clumsy and kinda foolish']","[1, 1]"
Tonari no Seki-kun,"['Asobi Asobase', 'Saiki Kusuo no Ψ-nan', 'Fumikiri Jikan']","['Both are about passing time in boring classrooms and both are very funny', '1. Both include a cast of characters that are all crackheads in their own ways.\r\n2. High school setting.\r\n3. Humor is the same in the sense that you will be rewatching and rewatching just to laugh over the same jokes.', 'Hilarious and slice of life. Very off-the-wall humor that matches this in oneshot pieces.']","[1, 1, 1]"
Tate no Yuusha no Nariagari,"['Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu.', 'Shinchou Yuusha: Kono Yuusha ga Ore Tsueee Kuse ni Shinchou Sugiru', 'Vinland Saga', 'Arifureta Shokugyou de Sekai Saikyou']","['Both Protagonists are shielders\r\n\r\nDifference\r\nShield Hero is a bit dark and Bofuri is kinda childish but it has good animation', 'Both Protagonists personalities match each others, also they both are cautious with people because of the fear of loosing and being cheated', 'Both are about Innocent characters having to adapt to the brutal world around them because of some sort of tragedy', ""If you're struggling with Post Anime Depression from shield bro just watch this. This anime is fun but the story isn't as catchy. Has a very similar feel to shield hero, but it's more comedic and less serious""]","[1, 2, 1, 1]"
Doukyuusei (Movie),"['Asagao to Kase-san.', 'Given']","['Both movies unravel the lovestory of a same sex couple in a very realistic and gentle way. The couples go to the same school, and as the story goes on they face post- graduation stress and fear that they will part ways with one another.\r\n\r\nA really sweet and honest story about same sex relationships in highschool.', '- both follow a healthy relationship between young people\r\n- both shows use music as a catalyst that connects the characters']","[1, 1]"
